ZIP_CODE,DELIVERY_TYPE,NET_MV,TUE_NET_MV,TUE_MV_PCT,WED_NET_MV,WED_MV_PCT,THU_NET_MV,THU_MV_PCT,SUN_NET_MV,SUN_MV_PCT,ORDER_COUNT
10021,FULFLLD,11119.590000,2643.460000,0.237729988246,,,1953.750000,0.175703420720,4223.600000,0.379834148561,255
10033,FULFLLD,6588.650000,2223.910000,0.337536521139,,,1469.370000,0.223015336981,1757.990000,0.266820972430,92
10075,DOORDASH,8483.120000,849.740000,0.100168334292,,,2355.090000,0.277620733881,1649.630000,0.194460292911,155
07039,FULFLLD,5124.920000,1208.610000,0.235830022713,,,221.350000,0.043190918102,3694.960000,0.720979059185,65
07974,FULFLLD,2062.140000,116.180000,0.056339530779,,,,,734.890000,0.356372506231,29
07458,DIRECT_VIA_NASH,4258.860000,1535.470000,0.360535448453,,,1006.760000,0.236391898301,993.980000,0.233391095270,22
10310,FULFLLD,304.900000,,,,,,,304.900000,1.000000000000,10
06878,FULFLLD,1195.660000,,,,,1195.660000,1.000000000000,,,21
10605,FULFLLD,1988.420000,,,,,,,,,27
07450,DIRECT_VIA_NASH,1565.360000,,,,,150.130000,0.095907650636,1058.220000,0.676023406756,8
07014,FULFLLD,280.060000,221.760000,0.791830322074,,,,,58.300000,0.208169677926,5
10452,FULFLLD,745.790000,,,,,,,,,16
10301,FULFLLD,409.910000,,,,,,,409.910000,1.000000000000,7
07103,FULFLLD,372.200000,148.730000,0.399596990865,,,,,223.470000,0.600403009135,7
10458,FULFLLD,232.230000,,,,,,,,,4
11804,DIRECT_VIA_NASH,206.270000,,,,,,,206.270000,1.000000000000,2
07068,FULFLLD,59.050000,59.050000,1.000000000000,,,,,,,1
11560,DIRECT_VIA_NASH,96.480000,96.480000,1.000000000000,,,,,,,1
11001,DIRECT_VIA_NASH,103.940000,,,,,103.940000,1.000000000000,,,1
11768,DIRECT_VIA_NASH,55.580000,55.580000,1.000000000000,,,,,,,1
11232,FULFLLD,2295.350000,285.400000,0.124338336201,,,132.780000,0.057847387109,199.990000,0.087128324656,38
10011,FULFLLD,23507.460000,2237.130000,0.095166810876,,,1864.770000,0.079326732875,6968.810000,0.296450998959,443
07078,FULFLLD,5349.730000,2379.130000,0.444719640057,,,1428.990000,0.267114415120,1434.690000,0.268179889452,66
11109,FULFLLD,3847.390000,1394.710000,0.362508089900,,,527.010000,0.136978575086,605.450000,0.157366422432,67
10530,FULFLLD,1717.660000,,,,,,,,,26
11216,FULFLLD,14685.750000,1980.960000,0.134889944334,,,945.710000,0.064396438725,4070.450000,0.277170045793,262
07204,FULFLLD,2097.080000,,,,,,,2008.200000,0.957617258283,23
10591,FULFLLD,3993.520000,,,,,,,,,37
07307,FULFLLD,8042.350000,469.410000,0.058367268274,,,148.960000,0.018521949430,5095.260000,0.633553625495,98
11104,FULFLLD,799.960000,63.790000,0.079741487074,,,61.450000,0.076816340817,116.810000,0.146019800990,25
10801,FULFLLD,3770.430000,,,,,3770.430000,1.000000000000,,,44
07075,FULFLLD,3905.230000,815.560000,0.208837891750,,,986.970000,0.252730312939,2102.700000,0.538431795310,70
07094,FULFLLD,5371.700000,1481.950000,0.275881006013,,,235.600000,0.043859485824,3313.250000,0.616797289499,80
11435,FULFLLD,2841.010000,48.360000,0.017022115374,,,,,341.520000,0.120210770113,27
07086,FULFLLD,4269.740000,690.430000,0.161703054519,,,70.540000,0.016520912280,2086.310000,0.488626942156,109
10603,FULFLLD,898.490000,,,,,,,,,25
11219,FULFLLD,2380.530000,391.750000,0.164564193688,,,1012.300000,0.425241437831,923.600000,0.387980827799,30
